job_id:ID(Job-ID),name,job_category,job_level,degree_requirement,major_requirement,experience_requirement,raw_requirement_summary,occurrence_count:int,:LABEL
job_719a391d8aff19ef,APP推广主管,,,,,,,0,Job
job_089bf2165ee6fa49,DevOps工程师,,,,,,,0,Job
job_cfc1bbdcb746fdfc,HRBP（人力资源业务伙伴）,,,,,,,0,Job
job_06423afae472db15,VP,,,,,,,0,Job
job_0ab94cb5371918d0,VP销售,,,,,,,0,Job
job_b04f2101dd1ddb9e,app推广,市场/运营,初级/专员,,,不限,负责在门店周边商圈、社区引导客户注册公众号或进行地推配送工作，薪资为底薪加提成模式，提供晋升通道。,9,Job
job_bdcfba1bbf410d2e,bd经理,商务/销售,,大专或以上,计算机等相关专业优先,应届毕业生或毕业1-2年,负责商务信息收集整理、询价报价、采购执行与跟踪、协助标书制作、文件归档、报表制作及售后协调等工作。要求大专以上学历，计算机相关专业优先，应届或1-2年经验，认真负责，细心周到。,42,Job
job_4142cecaac11f927,cc++,计算机软件/嵌入式开发,,硕士及以上,计算机科学与技术，软件工程，通信工程，电子信息，机械电子专业,,负责跨产品的AUTOSAR基础软件平台设计与开发，包括操作系统、通信和存储协议栈、信息安全、功能安全和工具链等；提供项目应用和问题解决；研究电子电气架构改进和芯片国产化软件生态建设。要求计算机、软件、通信、电子等相关专业硕士及以上学历，熟练使用C/C++和汇编，熟悉嵌入式调试工具。,238,Job
job_93f725a07423fe1c,java,技术/研发,,专科或以上,,三年以上开发经验,岗位要求专科或以上学历，三年以上开发经验，日语N3或以上并具备简单日语交流能力。需熟练掌握Java/VB.NET/C#/COBOL/IOS/Android/C等至少一种开发语言，熟练使用MySQL等关系型数据库并有优化经验。负责系统设计、开发、技术攻关、核心模块编码测试等工作。要求具备良好的沟通协调能力和抗压能力。部分岗位工作地点为东京。,265,Job
job_7e38d72eaec53669,专利代理部门主管,,,,,,,0,Job
job_2621c8d87c892441,专利代理部门主管/经理,,,,,,,0,Job
job_37d11f47518f0a84,专利分析师,,,,,,,0,Job
job_3c800b5fdca330ce,业务发展经理,,,,,,,0,Job
job_c798b4a6a160b2d9,业务拓展专员,,,,,,,0,Job
job_02a3bd1ed1d5ead2,业务运营,,,,,,,0,Job
job_e367f98f0cd799ea,中级审核专员,,,,,,,0,Job
job_889cf995d3e3e0b7,主办律师,,,,,,,0,Job
job_637872035e2c55e9,主管,,,,,,,0,Job
job_b9993ddbbdbe6961,事业部负责人,,,,,,,0,Job
job_a30ecf59a747e19b,产品专员,,,,,,,0,Job
job_45c0014d002b2441,产品专员助理,产品,专员/助理,大专及以上,产品设计等相关专业,有亚马逊平台产品开发经验者优先,协助处理研发日常事务；负责亚马逊新产品开发、市场调查及数据分析；根据公司定位和市场需求独立设计新品；分析客户反馈，管理产品生命周期；熟悉国外购物网站和论坛，提取热销数据；提出产品升级迭代计划。要求大专及以上学历，产品设计等相关专业，有亚马逊平台产品开发经验者优先，精通PS、AI等工具。,11,Job
job_b8344c583e7d9523,产品培训,,,,,,,0,Job
job_18578910b6b817c3,产品总监,,,,,,,0,Job
job_8bd26af85714193a,产品经理,,,,,,,0,Job
job_d17259acdd60ce0c,产品经理（国际化方向）,,,,,,,0,Job
job_7ce66332163576ea,产品运营,,,,,,,0,Job
job_1b76f9ae5d7984be,人力资源专员,,,,,,,0,Job
job_b7e3271f05850c97,人力资源专员/主管,,,,,,,0,Job
job_64035866418ddb50,人力资源专员/经理,,,,,,,0,Job
job_0216c37c6eb94240,人力资源业务伙伴（HRBP）,,,,,,,0,Job
job_eb051e77c251a925,人力资源总监,,,,,,,0,Job
job_971537e5b270a57a,人力资源经理,,,,,,,0,Job
job_aa864d25d32938b6,仲裁员,,,,,,,0,Job
job_c719f22cdfc9af1c,仲裁秘书,,,,,,,0,Job
job_c903abb7664ee8b2,企业内控,,,,,,,0,Job
job_ad305be33092524b,企业内控/风控,,,,,,,0,Job
job_a50012d38c650260,企业内部招聘专员,,,,,,,0,Job
job_8b292c4cddb39179,企业内部招聘专员/经理,,,,,,,0,Job
job_f39bb5fa2deaa209,企业大学负责人,,,,,,,0,Job
job_d4c3d165efcd5ac5,企业架构师,,,,,,,0,Job
job_370d43c6cfb726e6,企业法务,,,,,,,0,Job
job_26151d81d622040a,企业法务（知识产权方向）,,,,,,,0,Job
job_fac7449ebd1051b9,企业高级算法工程师,,,,,,,0,Job
job_247b150c9d9e7d05,供应商质量管理（SQE）,,,,,,,0,Job
job_7fa12073de6f8224,供应链管理,,,,,,,0,Job
job_462c2dadba659b10,保险顾问,,,,,,,0,Job
job_cf6f9081ce837fdc,保险顾问/理财规划师,,,,,,,0,Job
job_efc5a1691893fb30,信息中心主任,,,,,,,0,Job
job_99317f8b70042166,信息管理专员,,,,,,,0,Job
job_03e5f6eca9c9aa3c,储备干部,管理培训生,初级/储备,本科及以上,,应届生,负责区域内客户开发、维护和项目操作，完成销售目标；挖掘引导行业需求，制作解决方案；参与制定客户目标与业务拓展计划；协调内外资源确保产品需求一致性和交付及时性。要求本科及以上学历应届生，对销售有强烈兴趣，内驱力强，综合素质和抗压能力好，具备客户敏感度、沟通谈判协调能力、全局观、目标导向和学习能力。,7,Job
job_aca446cd16fece9b,储备经理人,销售/业务/管理,储备干部/初级管理,大专及以上,,有养老、保险、金融、法律、医疗、销售或团队管理经验者优先,负责老客户资源开发、客户洽谈、家庭财务配置方案定制，以及团队发展、管理和业务活动策划，带领团队完成业绩目标。要求大专以上学历，善于沟通，有服务意识，具备相关行业或管理经验者优先。提供底薪+绩效+提成，综合年薪15-50万，有内部培训和专家指导。,3,Job
job_be3a7dbe69c96a06,光伏工程师,,,,,,,0,Job
job_b7e1fa68b27b7546,全栈开发工程师,,,,,,,0,Job
job_ebb01ddd11823685,公共关系专员,,,,,,,0,Job
job_138331269f4aab5b,公司高管,,,,,,,0,Job
job_8d8c65e04f25c1f8,内容审核,运营/内容审核,初级,大专及以上,,无经验要求,负责平台用户上传的视频、图片、文章等内容审核，判断是否合规合法，是否涉及政治敏感信息，对违规内容进行删除处理。接受无经验，入职有带薪培训。,22,Job
job_d926a79a1b43e834,内容运营,,,,,,,0,Job
job_be2a54ba32bbd7f7,创业公司技术合伙人,,,,,,,0,Job
job_c4041ceffa1ed4f1,初级审核专员,,,,,,,0,Job
job_fd547cd6633e4256,前端开发工程师,,,,,,1.负责公司项目web前端页面的设计和开发、测试、优化工作； 2.参与前端架构在项目中的落地、实施。并针对开发框架实现编码工作； 3.配合后端开发工程师实现界面功能、确保交互界面具有良好的用户体验和卓越的性能； 4.持续的优化前端体验和页面响应速度，并保证兼容性和执行效率;,230,Job
job_bbbec58c6082c7ab,副总经理,,,,,,,0,Job
job_d59fdda1090296e6,副研究员,,,,,,,0,Job
job_31a0e4f04d0b96e4,办公室主任,,,,,,,0,Job
job_607966028e552e6c,功能安全工程师,,,,,,,0,Job
job_29a8c6ad51a15c87,助理,,,,,,,0,Job
job_d2914b1b351223b0,助理研究员,,,,,,,0,Job
job_f3c6fdb6db685d12,区域推广经理,,,,,,,0,Job
job_3243959dd89c5438,区域经理,,,,,,,0,Job
job_7cefd6fb7a43a321,区域运维经理,,,,,,,0,Job
job_8564edf7caf9ab8b,区域销售总监,,,,,,,0,Job
job_f6d1c61ffb11d419,区域销售经理,,,,,,,0,Job
job_89464c62aafd91dc,区域销售负责人,,,,,,,0,Job
job_2c7a39e73caa2de9,博士后,,,,,,,0,Job
job_fae21d113f621a26,合伙人,,,,,,,0,Job
job_2a304f706986efff,合伙人/公司高管,,,,,,,0,Job
job_010c7eba3958bf75,合伙人律师,,,,,,,0,Job
job_85752eae0913f15c,合同管理专员,,,,,,,0,Job
